Time,Sequence,Sim_time,mpc_dt,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_gt,v_y_gt,v_z_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
433.804,0,0.5,0.8,0.9,-15.5775,-0.98,0,0,0,0,-13,0,13,0,-1.3744,0,0,-5,0,-0,-3.14159,-0,-1.5708,0,1e+06,22,1.11351,-1.11375,0,0,561.703,553.519,428229,527884,158973,0,0,35,13,13,0,0,0,0,-0,0.785398,30,480,180,360,360
825.22,0,0.5,0.8,0.9,-16.1706,-0.98,0.752144,-12.3853,-0.735642,0.782509,-13.4815,-0.775613,13.683,0,-1.6272,0,0.196055,-4.52971,-0.184291,-0,-3.14159,0.0406246,-1.52754,0,449095,20.5855,3.28777,-3.29259,567,210,552.832,497.227,469073,966464,324047,0,0,35,13.683,13.683,0.00223157,0.0872228,0.0478184,0,0.0406246,0.785398,30,480,180,360,360
1225.22,0,0.5,0.8,0.9,-16.873,-0.98,0.923479,-12.6328,-0.918524,0.958026,-13.5665,-0.965678,14.7306,0,-1.8832,0,0.253346,-3.50271,-0.244438,-0,-3.14159,0.0694915,-1.49859,0,191036,19.3565,3.50522,-3.51814,568,224,563.034,539.521,477559,1.46415e+06,513025,0,0,35,14.7306,14.7306,0.00419579,0.0980462,0.145855,-3.47784e-18,0.0694915,0.785398,30,480,180,360,360
1625.22,0,0.5,0.8,0.9,-17.6778,-0.98,1.48362,-12.8144,-0.893799,1.5358,-13.5039,-0.939394,16.3823,0,-2.1392,0,0.556359,-2.6184,-0.17006,-0,-3.14159,0.0634444,-1.36143,0,85003.3,18.3669,3.64564,-3.67718,468,233,406.797,481.906,309572,1.8438e+06,644878,0,0,35,16.3823,16.3823,0.0165905,0.119065,0.289581,0,0.0634444,0.785398,30,480,180,360,360
2025.23,0,0.5,0.8,0.9,-18.585,-0.98,1.85796,-13.34,-1.03389,1.97961,-13.8358,-1.06737,19.4416,0,-2.3952,0,0.696255,-2.13326,-0.209496,-0,-3.14159,0.0930881,-1.25532,0,41505.7,17.5842,4.1264,-4.21011,368,210,346.165,433.446,309686,2.12002e+06,870828,0,0,35,19.4416,19.4416,0.0253419,0.144039,0.461159,6.96907e-18,0.0930881,0.785398,30,480,180,360,360
2449.22,0,0.5,0.8,0.9,-19.6544,-0.98,2.4859,-14.1769,-1.06351,2.66736,-14.5649,-1.12339,23.2605,0,-2.6656,0,0.951536,-2.03433,-0.180705,-0,-3.14159,0.0802881,-1.13329,0,23661.8,16.9744,4.99621,-5.2165,313,198,301.989,388.892,270007,2.21002e+06,1.17052e+06,0,0,35,23.2605,23.2605,0.0346029,0.125321,0.654749,0,0.0802881,0.785398,30,480,180,360,360
2825.23,0,0.5,0.8,0.9,-20.6993,-0.98,2.79718,-15.6216,-1.08926,3.03072,-16.0281,-1.12027,27.6433,0,-2.9056,0,0.914145,-2.46191,-0.130155,-0,-3.14159,0.0495207,-1.21526,0,16305.2,16.512,6.05133,-6.5365,248,171,239.977,354.365,312340,2.26498e+06,1.5668e+06,0,0,35,27.6433,27.6433,0.0300456,0.0913803,0.622206,0,0.0495207,0.785398,30,480,180,360,360
3225.22,0,0.5,0.8,0.9,-21.9131,-0.98,2.98486,-17.5463,-1.16705,3.27075,-16.9044,-1.19625,30.8025,0,-3.1616,0,0.960273,-2.75042,-0.166595,-0,-3.14159,0.0571233,-1.23489,0,13329.5,16.1502,7.02357,-7.85093,235,196,212.655,394.556,357004,2.53827e+06,2.01246e+06,0,0,35,30.8025,30.8025,0.0274616,0.0931956,0.65042,3.47512e-18,0.0571233,0.785398,30,480,180,360,360
3625.22,0,0.5,0.8,0.9,-23.2293,-0.98,1.22292,-22.7444,-1.08043,3.05104,-19.1037,-1.22738,33.9247,0,-3.4176,0,0.550546,-3.49318,-0.143393,-0,-3.14159,0.0405265,-1.41448,0,12103.1,15.8737,7.73101,-8.86333,264,258,256.45,466.528,261640,3.26095e+06,2.33496e+06,0,0,35,33.9247,33.9247,0.0215091,0.0786643,0.513277,-1.73615e-18,0.0405265,0.785398,30,480,180,360,360
4025.22,0,0.5,0.8,0.9,-24.657,-0.98,2.5682,-21.2977,-1.26827,2.59307,-22.119,-1.28617,36.7875,0,-3.6752,0,0.198192,-3.85049,-0.142339,-0,-3.14159,0.0369008,-1.51937,0,11599.9,15.6632,7.836,-9.06005,334,306,332.912,493.457,169172,4.4446e+06,2.52552e+06,0,0,35,36.7875,36.7875,0.0235172,0.0859418,0.446799,1.73591e-18,0.0369008,0.785398,30,480,180,360,360
