Time,Sequence,Sim_time,mpc_dt,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_gt,v_y_gt,v_z_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
430.993,0,0.5,0.8,0.9,-26.8061,-0.98,0,0,0,0,-22.5519,0,22.5519,0,-1.8944,0,0,-4,0,-0,-3.14159,-0,-1.5708,35,1e+06,22,1.11351,-1.11375,0,0,527.479,433.515,101850,165737,119015,0,0,35,22.5519,22.5519,0,0,0,0,-0,0.785398,30,480,180,360,360
830.989,0,0.5,0.8,0.9,-27.6046,-0.98,0.780634,-23.9441,-0.821682,0.81166,-24.8273,-0.866733,24.862,0,-2.1472,0,0.178502,-4.26038,-0.177844,-0,-3.14159,0.0416829,-1.52892,64.7822,449093,20.5855,4.0737,-4.0811,538,234,541.752,387.155,68890.4,517410,225684,0,0,35,24.862,24.862,0.0015895,0.0715545,0.0531449,3.47246e-18,0.0416829,0.785398,30,480,180,360,360
1230.98,0,0.5,0.8,0.9,-28.527,-0.98,0.868318,-24.8176,-1.08602,0.910957,-25.6717,-1.09638,25.7522,0,-2.4064,0,0.190309,-3.74493,-0.280686,-0,-3.14159,0.0747149,-1.52002,66.3848,190866,19.3649,4.54075,-4.56246,553,210,550.052,439.711,68172.1,834900,339583,0,0,35,25.7522,25.7522,0.0022564,0.0965842,0.102796,-6.95831e-18,0.0747149,0.785398,30,480,180,360,360
1630.98,0,0.5,0.8,0.9,-29.5345,-0.98,1.18904,-25.811,-1.13341,1.22984,-26.5175,-1.20433,25.884,0,-2.6608,0,0.346005,-3.34898,-0.273974,-0,-3.14159,0.0811963,-1.46784,66.7115,84933.6,18.3808,4.81534,-4.87057,521,251,444.668,458.702,63219,1.05264e+06,452251,0,0,35,25.884,25.884,0.0055187,0.111778,0.178478,-6.96183e-18,0.0811963,0.785398,30,480,180,360,360
2023.03,0,0.5,0.8,0.9,-30.643,-0.98,1.26459,-26.8685,-1.12192,1.3292,-27.5023,-1.19969,25.7582,0,-2.9152,0,0.320477,-3.11469,-0.189816,-0,-3.14159,0.0605482,-1.46826,67.0526,41477.2,17.6008,5.0475,-5.17342,411,264,364.708,452.906,74184.5,1.22326e+06,581306,0,0,35,25.7582,25.7582,0.00975169,0.101543,0.233406,0,0.0605482,0.785398,30,480,180,360,360
2422.99,0,0.5,0.8,0.9,-31.8527,-0.98,1.62337,-28.1563,-1.0258,1.67739,-28.7427,-1.06145,25.9151,0,-3.1696,0,0.470987,-3.0971,-0.0426911,-0,-3.14159,0.0136267,-1.41988,67.1993,23661.7,16.9874,5.20112,-5.44029,329,244,270.944,421.833,97208.7,1.37915e+06,740142,0,0,35,25.9151,25.9151,0.0173316,0.061973,0.343954,8.67442e-19,0.0136267,0.785398,30,480,180,360,360
2846.98,0,0.5,0.8,0.9,-33.2407,-0.98,2.02367,-29.6987,-1.05602,2.1437,-30.3236,-1.05887,26.6544,0,-3.4384,0,0.647508,-3.31169,-0.0314265,-0,-3.14159,0.00931296,-1.37771,68.22,16341.7,16.5141,5.45056,-5.84015,266,199,210.923,371.014,100549,1.47913e+06,914262,0,0,35,26.6544,26.6544,0.0245682,0.0590069,0.458783,4.337e-19,0.00931296,0.785398,30,480,180,360,360
3303.04,0,0.5,0.8,0.9,-34.8904,-0.98,2.69354,-32.1444,-0.916811,2.64117,-31.9312,-1.00699,27.5613,0,-3.7328,0,0.794366,-3.50178,0.00314781,-0,-3.14159,-0.000876642,-1.34773,69.0462,13323.8,16.1575,5.65359,-6.17788,238,165,181.513,349.775,86327.8,1.72734e+06,1.08785e+06,0,0,35,27.5613,27.5613,0.0266759,0.0410536,0.566291,1.0842e-19,-0.000876642,0.785398,30,480,180,360,360
3670.98,0,0.5,0.8,0.9,-36.3157,-0.98,2.978,-33.9351,-0.907569,2.99274,-33.7467,-0.862027,28.7627,0,-3.9696,0,0.804065,-3.74199,0.0987782,-0,-3.14159,-0.0258024,-1.35914,69.9424,12068.4,15.8919,5.86085,-6.49133,235,159,176.402,352.696,79041.2,1.91678e+06,1.25882e+06,0,0,35,28.7627,28.7627,0.0244926,0.00848017,0.620115,0,-0.0258024,0.785398,30,480,180,360,360
4038.98,0,0.5,0.8,0.9,-37.797,-0.98,2.84628,-34.7661,-0.904097,3.02826,-35.4991,-0.88886,29.8549,0,-4.2016,0,0.612759,-3.9729,0.0563435,-0,-3.14159,-0.0140153,-1.41777,69.903,11590.2,15.6867,5.91555,-6.58805,232,161,202.272,359.636,60860.2,2.33921e+06,1.4143e+06,0,0,35,29.8549,29.8549,0.0229256,0.0182298,0.617852,0,-0.0140153,0.785398,30,480,180,360,360
4438.98,0,0.5,0.8,0.9,-39.5403,-0.98,2.59582,-36.5233,-0.958073,2.70777,-37.3591,-0.962001,30.9461,0,-4.4592,0,0.211473,-4.06903,-0.00463438,-0,-3.14159,0.0011374,-1.51887,70.0041,11339.5,15.5229,5.98441,-6.6906,241,172,230.652,351.258,57755.6,2.71492e+06,1.56535e+06,0,0,35,30.9461,30.9461,0.020134,0.033286,0.559333,5.42101e-20,0.0011374,0.785398,30,480,180,360,360
4934.98,0,0.5,0.8,0.9,-41.8145,-0.98,2.46264,-39.167,-0.966807,2.57039,-39.2109,-1.02867,31.5846,0,-4.7744,0,0.0599603,-4.23336,-0.050014,-0,-3.14159,0.0118125,-1.55663,70.2656,11212.3,15.3982,6.06934,-6.8062,314,173,334.089,346.249,33522.7,3.17131e+06,1.69028e+06,0,0,35,31.5846,31.5846,0.0193076,0.0418567,0.57102,0,0.0118125,0.785398,30,480,180,360,360
