Time,Sequence,Sim_time,mpc_dt,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_gt,v_y_gt,v_z_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
431.722,0,0.5,0.8,0.9,-26.8584,-0.98,0.849219,-23.5474,-0.817191,0,-22.3018,0,22.3018,0,-1.912,0,0,-4,0,-0,-3.14159,-0,-1.5708,35,1e+06,22,1.11351,-1.11375,354,229,351.591,387.098,103182,144807,94382.7,0,0,35,22.3018,22.3018,0,0,0,0,-0,0.785398,30,320,160,320,320
831.723,0,0.5,0.8,0.9,-27.6693,-0.98,0.849685,-24.3828,-0.631883,0.795877,-24.876,-0.740015,24.939,0,-2.1664,0,0.154709,-4.26391,-0.1366,-0,-3.14159,0.0320043,-1.53453,64.6107,449061,20.5855,4.05218,-4.0595,379,201,379.915,354.154,62611.1,538205,179602,0,0,35,24.939,24.939,0.00186535,0.0623915,0.0612904,1.73561e-18,0.0320043,0.785398,30,320,160,320,320
1223.73,0,0.5,0.8,0.9,-28.5753,-0.98,0.925564,-25.3135,-1.04994,0.894537,-25.6621,-0.802002,25.8921,0,-2.4192,0,0.172258,-3.73019,-0.153367,-0,-3.14159,0.0410483,-1.52465,66.3933,190851,19.3649,4.54191,-4.56363,385,205,385.67,406.76,67869.8,859170,274122,0,0,35,25.8921,25.8921,0.00288392,0.0670534,0.110422,-1.73619e-18,0.0410483,0.785398,30,320,160,320,320
1639.72,0,0.5,0.8,0.9,-29.628,-0.98,1.20763,-26.3852,-1.16663,1.09904,-26.5535,-1.11468,26.1828,0,-2.6832,0,0.262819,-3.35029,-0.302103,-0,-3.14159,0.0896551,-1.49251,66.9343,84996.8,18.374,4.84919,-4.90516,326,212,312.043,393.514,50432.5,1.11115e+06,358896,0,0,35,26.1828,26.1828,0.00650118,0.128903,0.16407,0,0.0896551,0.785398,30,320,160,320,320
2023.72,0,0.5,0.8,0.9,-30.7161,-0.98,1.39181,-27.5105,-1.17878,1.19873,-27.5196,-1.19465,26.0629,0,-2.9312,0,0.248443,-3.1176,-0.268742,-0,-3.14159,0.0857186,-1.49127,66.968,41387.4,17.5996,5.03513,-5.1607,273,220,265.255,400.153,53881.1,1.30909e+06,451244,0,0,35,26.0629,26.0629,0.00996401,0.128889,0.226694,0,0.0857186,0.785398,30,320,160,320,320
2431.72,0,0.5,0.8,0.9,-31.972,-0.98,1.85413,-28.9056,-0.989701,1.56858,-28.7425,-1.13446,26.1099,0,-3.1936,0,0.425606,-3.10097,-0.148705,-0,-3.14159,0.0474732,-1.4344,67.2405,23636.1,16.9868,5.20743,-5.44747,206,212,185.53,376.926,65343.3,1.39928e+06,559663,0,0,35,26.1099,26.1099,0.0182786,0.0985104,0.343617,3.47336e-18,0.0474732,0.785398,30,320,160,320,320
2855.73,0,0.5,0.8,0.9,-33.3701,-0.98,2.14041,-30.3575,-0.766633,2.12902,-30.2475,-0.907554,26.6572,0,-3.4624,0,0.681887,-3.27775,0.0457007,-0,-3.14159,-0.0136496,-1.36569,67.0471,16340.1,16.5165,5.26996,-5.63333,174,185,153.465,339.84,55794.2,1.59015e+06,673761,0,0,35,26.6572,26.6572,0.0287756,0.0391874,0.498247,0,-0.0136496,0.785398,30,320,160,320,320
3343.73,0,0.5,0.8,0.9,-35.1439,-0.98,2.89816,-32.3649,-0.682125,2.71465,-32.0022,-0.628332,27.7267,0,-3.776,0,0.904934,-3.57398,0.222922,-0,-3.14159,-0.0603919,-1.32281,67.1849,13226.7,16.1509,5.36544,-5.83918,148,143,90.238,310.192,57870.5,1.83922e+06,799557,0,0,35,27.7267,27.7267,0.0357759,-0.0100383,0.617233,3.47578e-18,-0.0603919,0.785398,30,320,160,320,320
3655.72,0,0.5,0.8,0.9,-36.3355,-0.98,2.56771,-35.5629,-0.471068,3.11973,-34.1246,-0.520793,29.1562,0,-3.9728,0,0.908192,-4.01515,0.241435,-0,-3.14159,-0.0585823,-1.34835,68.7286,11952.3,15.8856,5.66821,-6.26216,126,130,65.1995,289.024,57659.5,2.06394e+06,931040,0,0,35,29.1562,29.1562,0.0372828,-0.0100806,0.654865,0,-0.0585823,0.785398,30,320,160,320,320
4055.74,0,0.5,0.8,0.9,-37.9762,-0.98,2.41294,-36.9212,-0.611157,2.59395,-37.114,-0.476524,31.4151,0,-4.2288,0,0.326774,-4.96358,0.203737,-0,-3.14159,-0.0409348,-1.50506,67.6396,11526.8,15.6793,5.55769,-6.15082,128,154,99.9427,320.863,42583.1,2.91492e+06,1.04151e+06,0,0,35,31.4151,31.4151,0.0287967,0.0049134,0.560438,3.47236e-18,-0.0409348,0.785398,30,320,160,320,320
