Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
5231,0,1.97943,-9.84955,-0.887659,1.98513,-9.82255,-0.797741,1.98794,-9.83164,-0.806505,6.84417,0.0108711,-0.109977,0.0300061,-0,1.5708,-0,1.5708,48.98,5134.61,7.08363,5.98897,-7.81114,421.476,218.553,361.735,682.463,11070.6,12.1597,8336.6,43.0809,586.323,35,3.91338,9.91338,0.000200299,-0.0107646,3.12299,0,-0,-3.14159,-1,480,180,360,-1
5631,0,1.97943,-9.84955,-0.887659,1.9802,-9.85297,-0.851499,1.98228,-9.88284,-0.838561,6.0533,0.00435216,-0.113786,-5.06322e-05,-0,1.5708,-0,1.5708,46.9561,5126.66,7.36948,5.36264,-6.78134,433.954,187.474,341.019,684.961,6439.72,14.6502,4656.64,47.7125,428.845,35,3.17833,9.17833,0.000296578,-0.0221769,3.12822,0,-0,-3.14159,-1,480,180,360,-1
6031,0,1.97943,-9.84955,-0.887659,1.98522,-9.84721,-0.825597,1.98488,-9.8728,-0.822151,5.37244,0.00517009,-0.0764313,0.00980887,-0,1.5708,-0,1.5708,44.5314,5116.49,7.65659,4.70737,-5.76889,456.332,207.279,373.973,747.367,2958.29,10.2893,2059.76,53.3952,272.543,35,2.39663,8.39663,0.000136275,-0.016099,3.13313,0,-0,-3.14159,-1,480,180,360,-1
6461,0,1.97943,-9.84955,-0.887659,1.98764,-9.80891,-0.832376,1.98554,-9.82517,-0.834543,4.73819,0.00505959,-0.0245966,0.000245528,-0,1.5708,-0,1.5708,40.9023,5073.59,7.97959,3.8759,-4.57488,475.427,188.905,361.714,748.805,402.676,16.4011,79.7476,43.9395,104.513,35,1.77972,7.77972,0.000153033,-0.028492,3.13622,0,-0,-3.14159,-1,480,180,360,-1
6831,0,1.97943,-9.84955,-0.887659,1.98877,-9.78831,-0.852581,1.98925,-9.79108,-0.847711,4.31138,0.00622745,0.00406768,-0.00932227,-0,1.5708,-0,1.5708,37.2214,4759.74,8.50342,3.05191,-3.50085,491.2,175.219,351.908,747.691,498.729,16.272,316.605,32.3194,14.8037,35,1.25415,7.25415,9.11117e-05,-0.0285888,3.13841,0,-0,-3.14159,-1,480,180,360,-1
7231,0,1.97943,-9.84955,-0.887659,1.99098,-9.80887,-0.839004,1.99164,-9.81542,-0.842694,3.87183,0.00643915,-0.0118675,-0.00382289,-0,1.5708,-0,1.5708,35.9079,5036.04,8.88792,2.74516,-3.08106,494.25,184.605,370.653,787.401,729.593,9.1014,519.804,34.0912,2.47304,35,0.898779,6.89878,6.58614e-05,-0.0155194,3.13735,0,-0,-3.14159,-1,480,180,360,-1
7631,0,1.97943,-9.84955,-0.887659,1.99066,-9.80089,-0.833228,1.99331,-9.80302,-0.844142,3.60379,0.00533597,-4.50448e-05,-0.00179801,-0,1.5708,-0,1.5708,35.8541,5072.47,9.23757,2.64018,-2.94695,484.525,178.997,380.809,832.867,662.378,10.2753,433.424,42.0902,2.18853,35,0.58859,6.58859,9.26236e-05,-0.0173633,3.13626,0,-0,-3.14159,-1,480,180,360,-1
8031,0,1.97943,-9.84955,-0.887659,1.98599,-9.77614,-0.850217,1.9904,-9.77855,-0.849324,3.48467,0.00130522,0.0162149,-0.00497767,-0,1.5708,-0,1.5708,34.6389,5043.27,9.62184,2.37801,-2.62562,474.742,175.623,380.051,837.969,651.586,11.1545,402.787,38.2409,0.39112,35,0.422481,6.42248,7.41786e-05,-0.0193422,3.13776,0,-0,-3.14159,-1,480,180,360,-1
8431,0,1.97943,-9.84955,-0.887659,1.98381,-9.76129,-0.851972,1.98425,-9.7587,-0.852001,3.48817,-0.00308052,0.0248913,-0.0056389,-0,1.5708,-0,1.5708,34.2964,5048.69,9.99713,2.24978,-2.46991,468.404,177.752,381.707,838.566,986.522,10.1942,740.159,34.3401,1.48533,35,0.396672,6.39667,1.67967e-05,-0.0179971,3.14066,0,-0,-3.14159,-1,480,180,360,-1
8841,0,1.97943,-9.84955,-0.887659,1.98654,-9.75066,-0.849649,1.98591,-9.74602,-0.853204,3.58818,-0.00125571,0.02716,-0.00461861,-0,1.5708,-0,1.5708,34.5305,5075.65,10.3184,2.21188,-2.42306,470.152,177.476,378.407,828.493,735.008,10.1896,532.877,30.2965,0.66137,35,0.471289,6.47129,-3.25744e-05,-0.0179212,-3.13978,0,-0,-3.14159,-1,480,180,360,-1
