Time,Sequence,Sim_time,mpc_dt,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_gt,v_y_gt,v_z_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
430.823,0,0.5,0.8,0.9,-25.6763,-0.98,0,0,0,0,-23.1906,0,23.1906,0,-1.464,0,0,-4,0,-0,-3.14159,-0,-1.5708,0,1e+06,22,1.11351,-1.11375,0,0,529.568,427.84,86439.7,274791,117648,0,0,35,23.1906,23.1906,0,0,0,0,-0,0.785398,30,480,180,360,360
830.825,0,0.5,0.8,0.9,-26.3177,-0.98,0.801314,-22.8818,-0.843772,0.832651,-23.7725,-0.871297,23.7078,0,-1.7216,0,0.20315,-3.92288,-0.218134,-0,-3.14159,0.0554741,-1.51906,0,449093,20.5848,4.11191,-4.11946,546,223,544.613,401.921,105516,421083,226342,0,0,35,23.7078,23.7078,0.00176331,0.0835526,0.0627003,0,0.0554741,0.785398,30,480,180,360,360
1222.83,0,0.5,0.8,0.9,-27.043,-0.98,0.882656,-23.5975,-1.06181,0.928358,-24.389,-1.11488,23.8634,0,-1.9728,0,0.208945,-3.37631,-0.302733,-0,-3.14159,0.089255,-1.50899,0,190866,19.3644,4.37451,-4.39466,561,225,556.618,453.506,101162,533526,343950,0,0,35,23.8634,23.8634,0.00259732,0.110939,0.119195,0,0.089255,0.785398,30,480,180,360,360
1622.84,0,0.5,0.8,0.9,-27.8837,-0.98,1.15307,-24.4118,-1.10364,1.21934,-25.0782,-1.1629,23.6133,0,-2.2288,0,0.330962,-2.95743,-0.256584,-0,-3.14159,0.0860084,-1.45935,0,85002.3,18.3735,4.69423,-4.74666,488,259,421.738,480.064,99152.9,671738,463621,0,0,35,23.6133,23.6133,0.00629534,0.118422,0.191767,3.48232e-18,0.0860084,0.785398,30,480,180,360,360
2022.83,0,0.5,0.8,0.9,-28.8267,-0.98,1.48667,-25.3427,-1.02932,1.53586,-25.9004,-1.06711,23.8026,0,-2.4848,0,0.461623,-2.75313,-0.131707,-0,-3.14159,0.0471455,-1.40467,0,41505.3,17.5894,4.96449,-5.08616,371,267,339.875,476.195,117630,777073,608617,0,0,35,23.8026,23.8026,0.0134134,0.0893345,0.30765,-3.47331e-18,0.0471455,0.785398,30,480,180,360,360
2422.82,0,0.5,0.8,0.9,-29.8722,-0.98,1.76789,-26.545,-1.01697,1.84943,-27.0832,-1.03383,24.8164,0,-2.7408,0,0.549012,-2.78352,-0.0749331,-0,-3.14159,0.0264053,-1.37606,0,23661.6,16.9784,5.09416,-5.32338,280,228,233.262,411.205,119257,885807,778526,0,0,35,24.8164,24.8164,0.0222094,0.0784739,0.40282,1.73533e-18,0.0264053,0.785398,30,480,180,360,360
2854.83,0,0.5,0.8,0.9,-31.1178,-0.98,2.55204,-28.0154,-0.962427,2.65747,-28.5242,-0.978713,26.2056,0,-3.0176,0,0.957622,-3.05279,-0.0176589,-0,-3.14159,0.00551927,-1.26683,0,16341.6,16.5072,5.41667,-5.80126,245,181,176.623,362.058,102609,994505,953806,0,0,35,26.2056,26.2056,0.0309665,0.0518179,0.589104,0,0.00551927,0.785398,30,480,180,360,360
3390.94,0,0.5,0.8,0.9,-32.8326,-0.98,2.97675,-30.3005,-0.929935,2.98479,-30.1061,-0.927324,27.8045,0,-3.3616,0,0.906902,-3.27173,0.0204579,-0,-3.14159,-0.00602564,-1.30039,0,13171.7,16.1538,5.62417,-6.14931,212,161,141.943,348.847,89415.2,1.18052e+06,1.13211e+06,0,0,35,27.8045,27.8045,0.0286948,0.0337266,0.624919,8.67377e-19,-0.00602564,0.785398,30,480,180,360,360
3638.85,0,0.5,0.8,0.9,-33.6756,-0.98,3.06544,-31.1573,-0.93508,3.25314,-31.8146,-0.930514,29.2263,0,-3.5184,0,0.834225,-3.52778,0.0123131,-0,-3.14159,-0.00339663,-1.33859,0,11813.1,15.8884,5.85626,-6.50081,207,160,121.825,347.413,82861.9,1.34397e+06,1.30916e+06,0,0,35,29.2263,29.2263,0.0262969,0.0315754,0.644491,0,-0.00339663,0.785398,30,480,180,360,360
4086.83,0,0.5,0.8,0.9,-35.305,-0.98,2.91922,-32.8436,-0.959135,3.05072,-33.582,-0.966838,30.4575,0,-3.8032,0,0.478952,-3.76006,-0.0119326,-0,-3.14159,0.00314807,-1.4441,0,11218.8,15.6795,5.88906,-6.57985,214,179,180.478,371.704,58852.6,1.80815e+06,1.46153e+06,0,0,35,30.4575,30.4575,0.0225951,0.0366566,0.593062,-2.16842e-19,0.00314807,0.785398,30,480,180,360,360
