Time,Sequence,Sim_time,mpc_dt,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_gt,v_y_gt,v_z_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
430.536,0,0.5,0.8,0.9,-24.2746,-0.98,0,0,0,0,-18,0,18,0,-3.608,0,0,-5,0,-0,-3.14159,-0,-1.5708,0,1e+06,22,1.11351,-1.11375,0,0,532.43,474.46,215344,258384,152619,0,0,35,18,18,0,0,0,0,-0,0.785398,30,480,170,360,370
822.527,0,0.5,0.8,0.9,-25.75,-0.98,0.666709,-21.8857,-0.818855,0.674565,-21.9826,-0.838394,22.1621,0,-3.8608,0,0.19101,-5.79441,-0.239657,-0,-3.14159,0.0413141,-1.53784,0,449093,20.5855,4.52407,-4.5332,530,221,530.456,406.538,124695,828965,292011,0,0,35,22.1621,22.1621,0.00127839,0.0769264,0.0358669,-1.7362e-18,0.0413141,0.785398,30,480,170,360,370
1222.53,0,0.5,0.8,0.9,-27.3458,-0.98,0.850768,-23.3983,-1.01632,0.870708,-24.6147,-1.07272,25.4696,0,-4.1168,0,0.262567,-5.60797,-0.288366,-0,-3.14159,0.0513194,-1.52401,0,191035,19.3565,5.48588,-5.51757,558,197,580.881,406.111,137575,1.23468e+06,481871,0,0,35,25.4696,25.4696,0.00226298,0.0740279,0.0993088,-3.47402e-18,0.0513194,0.785398,30,480,170,360,370
1622.52,0,0.5,0.8,0.9,-29.0331,-0.98,1.0682,-25.1024,-1.13521,1.11769,-26.2098,-1.19494,27.0954,0,-4.3712,0,0.358959,-5.18057,-0.292057,-0,-3.14159,0.0561815,-1.50162,0,85003,18.3669,6.30338,-6.39827,548,192,520.787,400.847,45837.6,2.04222e+06,616740,0,0,35,27.0954,27.0954,0.00367147,0.0840877,0.130779,0,0.0561815,0.785398,30,480,170,360,370
2022.53,0,0.5,0.8,0.9,-30.8447,-0.98,1.04549,-26.8693,-1.12002,1.11375,-27.8889,-1.17585,27.8076,0,-4.6288,0,0.259641,-4.91892,-0.20027,-0,-3.14159,0.0406352,-1.51806,0,41505.6,17.5842,6.53622,-6.74877,501,226,491.605,465.908,43663.1,2.82175e+06,751767,0,0,35,27.8076,27.8076,0.00345516,0.0666183,0.132172,-1.73616e-18,0.0406352,0.785398,30,480,170,360,370
2422.53,0,0.5,0.8,0.9,-32.7355,-0.98,1.31971,-28.7804,-1.11322,1.36353,-29.7675,-1.17186,28.0762,0,-4.8832,0,0.363286,-4.85643,-0.134764,-0,-3.14159,0.0276652,-1.49613,0,23661.7,16.9744,6.52023,-6.90053,511,264,502.491,473.342,48807.7,3.59481e+06,896242,0,0,35,28.0762,28.0762,0.00760991,0.0659461,0.196138,0,0.0276652,0.785398,30,480,170,360,370
2822.53,0,0.5,0.8,0.9,-34.7403,-0.98,1.47225,-30.7196,-1.0971,1.54911,-31.6886,-1.11185,28.0215,0,-5.1392,0,0.389276,-4.84257,-0.0613629,-0,-3.14159,0.0126301,-1.49058,0,16341.7,16.504,6.66757,-7.26001,485,258,444.897,459.768,35764.2,4.34727e+06,1.03014e+06,0,0,35,28.0215,28.0215,0.0110579,0.0603547,0.227512,8.67431e-19,0.0126301,0.785398,30,480,170,360,370
3222.53,0,0.5,0.8,0.9,-36.8475,-0.98,1.63778,-32.9181,-1.08832,1.70935,-33.8772,-1.10074,27.9788,0,-5.3952,0,0.395008,-5.02,-0.036717,-0,-3.14159,0.00729147,-1.49227,0,13338.7,16.1437,6.71187,-7.46292,445,226,426.06,424.102,31682.5,5.14092e+06,1.16189e+06,0,0,35,27.9788,27.9788,0.0149105,0.0614523,0.268386,-4.33692e-19,0.00729147,0.785398,30,480,170,360,370
3622.53,0,0.5,0.8,0.9,-39.0712,-0.98,1.843,-35.2133,-1.083,1.90886,-36.2125,-1.08093,28.1178,0,-5.6528,0,0.429092,-5.24772,-0.0168209,-0,-3.14159,0.00319471,-1.48921,0,12106.9,15.8688,6.82465,-7.69182,411,195,375.751,397.575,49752.2,5.60122e+06,1.30826e+06,0,0,35,28.1178,28.1178,0.0174549,0.0573439,0.311532,-2.16842e-19,0.00319471,0.785398,30,480,170,360,370
4022.53,0,0.5,0.8,0.9,-41.3691,-0.98,1.95296,-37.5235,-1.01402,2.03508,-38.6139,-1.01263,28.2839,0,-5.9072,0,0.399137,-5.42876,0.0325921,-0,-3.14159,-0.00598738,-1.49741,0,11601.5,15.6595,7.08661,-8.07285,387,183,372.812,398.855,50442,6.13962e+06,1.462e+06,0,0,35,28.2839,28.2839,0.0192457,0.0456179,0.356653,0,-0.00598738,0.785398,30,480,170,360,370
