Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
5235,0,1.97943,-9.84955,-0.887659,2.00829,-9.7185,-0.840691,2.01233,-9.73049,-0.841113,9.14832,0.0210292,-0.0346964,-0.00990314,-0,1.5708,-0,1.5708,59.4146,4664.14,7.96757,7.45426,-10.9564,547.84,195.563,328.264,625.515,3691.48,16.6015,1462.9,19.7734,298.036,35,6.04808,12.0481,-0.000238116,0.0116958,3.12124,0,-0,-3.14159,-1,480,180,360,-1
5645,0,1.97943,-9.84955,-0.887659,1.98837,-9.70709,-0.849146,1.99521,-9.71617,-0.860001,8.98461,0.00390634,-0.0159651,-0.0175556,-0,1.5708,-0,1.5708,58.5305,4694.78,8.36333,6.98256,-9.93903,509.53,193.713,327.299,626.533,2352.34,16.2065,532.341,12.795,276.843,35,5.85141,11.8514,-0.00024461,0.0129212,3.12266,0,-0,-3.14159,-1,480,180,360,-1
6068,0,1.97943,-9.84955,-0.887659,1.98995,-9.7407,-0.850407,1.99456,-9.74178,-0.856452,8.69443,0.00185309,-0.0289675,-0.0103112,-0,1.5708,-0,1.5708,57.017,4570.45,8.73133,6.41006,-8.90906,489.504,202.522,335.933,634.771,1652.97,14.9307,294.205,6.03727,242.374,35,5.63307,11.6331,-0.00022291,0.0149979,3.12673,0,-0,-3.14159,-1,480,180,360,-1
6468,0,1.97943,-9.84955,-0.887659,1.98629,-9.74087,-0.85884,1.98654,-9.7492,-0.86171,8.34294,-0.00379566,-0.0254844,-0.010788,-0,1.5708,-0,1.5708,54.9325,4296.4,8.99793,5.80787,-7.95992,477.119,203.945,338.572,640.139,1205.04,10.5655,258.142,3.19725,198.651,35,5.24243,11.2424,-0.000102224,0.0125088,3.13342,0,-0,-3.14159,-1,480,180,360,-1
6895,0,1.97943,-9.84955,-0.887659,1.99955,-9.77456,-0.861405,1.99898,-9.78122,-0.862551,7.80107,0.00522141,-0.0392958,-0.0087655,-0,1.5708,-0,1.5708,52.1728,3636.65,9.11196,5.13776,-7.1612,476.664,201.291,336.609,639.723,935.585,6.72425,250.132,1.21862,147.453,35,4.78868,10.7887,-2.04343e-05,0.00924934,3.13938,0,-0,-3.14159,-1,480,180,360,-1
7255,0,1.97943,-9.84955,-0.887659,1.9934,-9.74795,-0.896076,1.99523,-9.76057,-0.889088,7.21071,0.0012514,-0.0145801,-0.0257359,-0,1.5708,-0,1.5708,49.8126,2711.81,8.9597,4.60632,-6.97634,468.607,191.05,332.351,648.864,725.389,6.07962,254.1,2.34913,109.706,35,4.12164,10.1216,2.14074e-06,0.0085943,-3.14134,0,-0,-3.14159,-1,480,180,360,-1
7655,0,1.97943,-9.84955,-0.887659,1.99793,-9.80304,-0.903836,1.99924,-9.81367,-0.905455,6.49262,0.00328104,-0.0434904,-0.0304921,-0,1.5708,-0,1.5708,46.6687,4673.31,9.1636,4.31847,-5.29754,465.073,192.718,336.87,659.77,555.925,9.52203,229.888,6.06098,68.079,35,3.53995,9.53995,5.53386e-06,0.01346,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
8068,0,1.97943,-9.84955,-0.887659,1.99992,-9.75549,-0.858236,2.00001,-9.7692,-0.858338,5.77295,0.00305961,-0.00217338,0.00662971,-0,1.5708,-0,1.5708,44.8739,4332.26,9.49529,3.86677,-4.70702,464.072,202.745,359.784,711.55,368.483,8.88163,192.759,11.9738,48.7474,35,2.77252,8.77252,5.16134e-06,0.0125539,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
8465,0,1.97943,-9.84955,-0.887659,1.99822,-9.80952,-0.841236,1.99903,-9.81716,-0.842023,5.1741,0.0015735,-0.0302715,0.0160278,-0,1.5708,-0,1.5708,41.4923,4621.31,9.80741,3.26561,-3.80309,466.51,190.922,352.092,713.113,184.945,2.53035,90.9485,11.3334,21.0747,35,2.20102,8.20102,1.46152e-06,0.00355476,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
8865,0,1.97943,-9.84955,-0.887659,1.99333,-9.77655,-0.831648,1.99344,-9.77811,-0.827308,4.57862,-0.00241929,0.00165534,0.0217812,-0,1.5708,-0,1.5708,39.3838,4239.8,10.2586,2.82504,-3.2594,469.079,190.876,365.058,755.226,163.4,1.65064,59.4501,15.8038,9.60875,35,1.56791,7.56791,9.44759e-07,0.00229787,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
9277,0,1.97943,-9.84955,-0.887659,1.9938,-9.7789,-0.843847,1.99144,-9.78696,-0.837391,4.15559,-0.00267163,-0.00305293,0.00834502,-0,1.5708,-0,1.5708,36.3846,4650.83,10.7759,2.33544,-2.59618,473.39,182.632,360.353,758.448,64.4981,2.14322,10.9412,14.3877,0.958556,35,1.13595,7.13595,-1.23465e-06,-0.00300296,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
