Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
5231,0,1.97943,-9.84955,-0.887659,2.00346,-9.73939,-0.81958,2.01066,-9.75542,-0.823748,8.78521,0.0158205,-0.044786,0.00429735,-0,1.5708,-0,1.5708,43.9493,5282.28,6.10509,5.65477,-7.19531,579.663,215.359,317.254,545.497,6459.92,13.9971,3252.55,0.0517762,240.27,35,5.72673,11.7267,-0.000183927,0.0113318,3.12536,0,-0,-3.14159,-1,480,180,360,-1
5641,0,1.97943,-9.84955,-0.887659,2.01455,-9.73426,-0.857217,2.01343,-9.7435,-0.849697,8.46139,0.0144946,-0.025336,-0.0152189,-0,1.5708,-0,1.5708,43.514,5287.81,6.25127,5.43905,-6.84778,550.75,208.986,313.688,548.22,4598.39,13.3531,1997.63,0.0135711,217.465,35,5.40222,11.4022,-0.000170683,0.0112568,3.12643,0,-0,-3.14159,-1,480,180,360,-1
6031,0,1.97943,-9.84955,-0.887659,1.98876,-9.71728,-0.85373,1.99399,-9.72763,-0.853967,8.08561,-0.00238678,-0.007525,-0.0145586,-0,1.5708,-0,1.5708,42.9267,5280.92,6.37912,5.21125,-6.49265,517.293,212.065,320.974,564.928,2858.08,13.8584,985.498,0.612636,188.498,35,4.96374,10.9637,-0.00019168,0.0142819,3.12817,0,-0,-3.14159,-1,480,180,360,-1
6471,0,1.97943,-9.84955,-0.887659,1.9876,-9.76447,-0.850734,1.98302,-9.75473,-0.859296,7.55888,-0.00768261,-0.0261319,-0.0124199,-0,1.5708,-0,1.5708,42.0308,5240.37,6.51249,4.91971,-6.05698,494.036,210.422,323.33,576.246,1886.26,12.2947,616.787,1.59953,148.297,35,4.51977,10.5198,-0.000139777,0.014446,3.13192,0,-0,-3.14159,-1,480,180,360,-1
6881,0,1.97943,-9.84955,-0.887659,1.98113,-9.73257,-0.831134,1.98064,-9.74249,-0.833491,6.9312,-0.0075594,-0.0110029,0.00732425,-0,1.5708,-0,1.5708,41.058,5099.8,6.69444,4.58687,-5.59296,476.976,213.547,333.694,602.823,1191.87,9.94879,454.379,4.67567,110.097,35,3.90308,9.90308,-6.38715e-05,0.0132132,3.13676,0,-0,-3.14159,-1,480,180,360,-1
7271,0,1.97943,-9.84955,-0.887659,1.99503,-9.72282,-0.825999,1.99241,-9.7289,-0.824474,6.30173,0.00235279,0.00166223,0.0112128,-0,1.5708,-0,1.5708,39.7646,4694.17,7.05852,4.09302,-4.95755,469.419,204.37,332.85,620.645,787.014,6.00839,360.744,7.0657,68.104,35,3.25244,9.25244,-7.21961e-06,0.00845415,3.14074,0,-0,-3.14159,-1,480,180,360,-1
7641,0,1.97943,-9.84955,-0.887659,2.00071,-9.80564,-0.867814,1.99985,-9.78807,-0.850945,5.60442,0.00685717,-0.0399393,-0.0109668,-0,1.5708,-0,1.5708,38.3623,4646.96,7.53551,3.60575,-4.26811,462.415,192.502,329.724,637.1,607.38,6.42364,345.552,9.17459,33.9154,35,2.64791,8.64791,-2.63293e-06,0.0090798,3.1413,0,-0,-3.14159,-1,480,180,360,-1
8051,0,1.97943,-9.84955,-0.887659,2.01076,-9.78027,-0.86597,2.01121,-9.79272,-0.867674,4.97216,0.0125723,-0.0302242,-0.0189689,-0,1.5708,-0,1.5708,37.6054,4504.38,8.08833,3.24734,-3.79444,461.303,189.772,341.876,682.589,334.619,12.0532,193.383,15.7014,20.3637,35,1.99428,7.99428,-4.94206e-06,0.0170436,3.1413,0,-0,-3.14159,-1,480,180,360,-1
8471,0,1.97943,-9.84955,-0.887659,2.00601,-9.8122,-0.840351,2.00911,-9.81052,-0.84206,4.32554,0.00782608,-0.035655,0.00204484,-0,1.5708,-0,1.5708,36.3821,4534.18,8.68337,2.85873,-3.27122,461.284,195.638,364.967,744.264,238.069,10.6317,148.77,23.0508,5.73069,35,1.34048,7.34048,-4.35906e-06,0.0150328,3.1413,0,-0,-3.14159,-1,480,180,360,-1
8871,0,1.97943,-9.84955,-0.887659,2.00011,-9.77911,-0.827312,2.00358,-9.79008,-0.827787,3.8023,0.00178471,-0.0123251,0.0109533,-0,1.5708,-0,1.5708,35.1508,4739.77,9.33183,2.50968,-2.80694,463.084,186.222,371.581,786.785,206.661,3.14374,105.163,28.1706,0.0682105,35,0.831273,6.83127,-1.28648e-06,0.00443646,3.1413,0,-0,-3.14159,-1,480,180,360,-1
9261,0,1.97943,-9.84955,-0.887659,1.99288,-9.78109,-0.831952,1.99393,-9.7847,-0.828675,3.49064,-0.00503736,-0.0054874,0.0073607,-0,1.5708,-0,1.5708,34.2794,4116.07,10.0352,2.21755,-2.48534,464.836,174.562,374.413,822.078,266.354,1.92522,109.492,30.7018,1.55773,35,0.465352,6.46535,7.85029e-07,-0.00270718,3.1413,0,-0,-3.14159,-1,480,180,360,-1
9661,0,1.97943,-9.84955,-0.887659,1.99361,-9.77131,-0.829108,1.99339,-9.76869,-0.825142,3.30601,-0.0042766,0.00564332,0.00735683,-0,1.5708,-0,1.5708,33.7388,4549.97,10.7083,2.03253,-2.23193,469.08,165.89,376.301,847.623,360.494,3.84044,146.019,32.1536,4.77176,35,0.239385,6.23939,1.57269e-06,-0.00542346,3.1413,0,-0,-3.14159,-1,480,180,360,-1
10061,0,1.97943,-9.84955,-0.887659,1.99361,-9.77131,-0.829108,1.99176,-9.76653,-0.822333,3.27186,-0.0042766,0.00564332,0.00735683,-0,1.5708,-0,1.5708,33.475,4416.45,11.4377,1.87753,-2.052,472.18,166.578,378.789,854.142,332.797,4.03497,148.583,28.5875,6.9771,35,0.186746,6.18675,1.65257e-06,-0.00569894,3.1413,0,-0,-3.14159,-1,480,180,360,-1
10511,0,1.97943,-9.84955,-0.887659,1.98865,-9.74071,-0.826092,1.98792,-9.73749,-0.824547,3.36186,-0.00549414,0.0208367,0.00412933,-0,1.5708,-0,1.5708,33.5759,4198.48,12.2063,1.77064,-1.93374,474.329,166.168,376.859,848.809,236.028,4.03497,118.974,24.0643,6.08427,35,0.219373,6.21937,1.65257e-06,-0.00569894,3.1413,0,-0,-3.14159,-1,480,180,360,-1
10901,0,1.97943,-9.84955,-0.887659,1.98705,-9.72546,-0.834821,1.98565,-9.72361,-0.835105,3.53346,-0.00547508,0.0248464,-0.00362618,-0,1.5708,-0,1.5708,33.9486,1176.34,12.967,1.5481,-2.10113,476.912,163.509,367.714,825.132,203.454,4.03497,82.8878,14.1516,3.31639,35,0.358497,6.3585,1.65257e-06,-0.00569894,3.1413,0,-0,-3.14159,-1,480,180,360,-1
11291,0,1.97943,-9.84955,-0.887659,1.99054,-9.73511,-0.852452,1.98988,-9.72948,-0.85093,3.75233,-0.00118953,0.0141379,-0.0134537,-0,1.5708,-0,1.5708,34.0787,4046.97,13.5209,1.64922,-1.79557,481.675,165.32,356.438,784.541,138.749,2.16837,53.9115,10.9613,2.54657,35,0.602262,6.60226,8.8525e-07,-0.0030528,3.1413,0,-0,-3.14159,-1,480,180,360,-1
11661,0,1.97943,-9.84955,-0.887659,1.99784,-9.7109,-0.8613,1.99663,-9.70591,-0.864505,3.9699,0.00375322,0.0246964,-0.0183194,-0,1.5708,-0,1.5708,34.7424,4912.2,13.8632,1.68285,-1.80664,486.103,167.645,352.09,765.248,117.713,0.6563,63.1138,7.70069,0.199077,35,0.805319,6.80532,-2.55672e-07,0.000881687,3.1413,0,-0,-3.14159,-1,480,180,360,-1
