Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
1241,0,1.97943,-9.84955,-0.887659,2.00423,-9.8938,-0.861617,2.09632,-10.2726,-0.895427,10.0465,0.759638,-3.73751,-0.325621,-0,1.5708,-0,1.5708,30.3,708.803,1.01,5.10558,11.5873,729.828,208.928,268.516,401.992,26648.5,4.8721e-13,17905.1,56.586,66.27,35,7.48436,13.4844,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1
1641,0,1.97943,-9.84955,-0.887659,1.95517,-9.88001,-0.905849,2.13658,-10.7238,-0.971199,10.0473,0.557569,-2.90426,-0.276423,-0,1.5708,-0,1.5708,39.7243,3071.38,1.88933,10.8282,-36.7185,792.31,209.612,284.352,451.77,34603.3,10.2383,26034.3,83.5498,66.9567,35,7.9377,13.9377,-5.48575e-05,0.0139336,3.13766,0,-0,-3.14159,-1,480,180,360,-1
2041,0,1.97943,-9.84955,-0.887659,1.96204,-9.86962,-0.854197,2.08501,-10.5424,-0.92211,10.0231,0.374832,-1.99754,-0.1692,-0,1.5708,-0,1.5708,42.4824,4360.96,2.64733,10.3942,-19.8624,800.564,235.984,317.367,499.664,34135.8,16.5719,26928.2,71.2294,167.96,35,7.72527,13.7253,-0.000154137,0.0224035,3.13471,0,-0,-3.14159,-1,480,180,360,-1
2441,0,1.97943,-9.84955,-0.887659,1.99475,-9.8606,-0.864615,2.06992,-10.2831,-0.904745,9.97855,0.272689,-1.33439,-0.115301,-0,1.5708,-0,1.5708,43.698,4850.49,3.2924,9.36731,-15.2622,800.636,230.78,316.857,509.668,33890.1,15.0842,26811.8,37.8558,226.966,35,7.42165,13.4217,-0.00017713,0.0192439,3.13239,0,-0,-3.14159,-1,480,180,360,-1
2841,0,1.97943,-9.84955,-0.887659,2.00399,-9.8383,-0.839024,2.06391,-10.1338,-0.86643,9.90051,0.195885,-0.881127,-0.0593985,-0,1.5708,-0,1.5708,44.2034,5040.79,3.84171,8.46999,-12.7571,787.716,233.381,322.156,521.012,31271.9,15.6105,24742.7,15.9897,254.107,35,7.20549,13.2055,-0.000214824,0.0189391,3.13025,0,-0,-3.14159,-1,480,180,360,-1
3241,0,1.97943,-9.84955,-0.887659,1.99863,-9.81533,-0.843421,2.04461,-10.018,-0.854418,9.80631,0.130639,-0.570337,-0.0365584,-0,1.5708,-0,1.5708,44.5112,5134.49,4.30981,7.80323,-11.2108,764.803,225.635,316.702,520.692,26993.5,14.1468,21267.5,6.51368,271.387,35,6.99615,12.9962,-0.000198519,0.0150137,3.12837,0,-0,-3.14159,-1,480,180,360,-1
3641,0,1.97943,-9.84955,-0.887659,2.00729,-9.79809,-0.840851,2.03618,-9.92497,-0.84826,9.69156,0.0925694,-0.367782,-0.0236306,-0,1.5708,-0,1.5708,44.6966,5181.96,4.71326,7.29061,-10.1453,734.739,220.334,313.623,522.589,22620.9,13.8967,17167.4,2.6663,282.074,35,6.77424,12.7742,-0.000191398,0.0129384,3.1268,0,-0,-3.14159,-1,480,180,360,-1
4041,0,1.97943,-9.84955,-0.887659,1.99452,-9.78476,-0.86749,2.01598,-9.86128,-0.862497,9.55302,0.0568314,-0.237918,-0.0287166,-0,1.5708,-0,1.5708,44.7087,5209.26,5.06357,6.86087,-9.31437,703.857,215.454,310.377,523.006,18450,14.5597,13457.9,0.749556,282.775,35,6.58709,12.5871,-0.000206423,0.0127958,3.12546,0,-0,-3.14159,-1,480,180,360,-1
4441,0,1.97943,-9.84955,-0.887659,2.0044,-9.75998,-0.829806,2.01968,-9.81601,-0.841493,9.41212,0.0412379,-0.135601,-0.00456376,-0,1.5708,-0,1.5708,44.6407,5231.88,5.36533,6.50947,-8.66587,675.302,219.893,316.353,532.423,14940.1,15.6703,10409.9,0.113362,278.827,35,6.403,12.403,-0.000240456,0.0139913,3.12441,0,-0,-3.14159,-1,480,180,360,-1
4841,0,1.97943,-9.84955,-0.887659,1.98241,-9.74211,-0.838803,1.99257,-9.77145,-0.841626,9.24635,0.0129864,-0.0725972,-0.00310837,-0,1.5708,-0,1.5708,44.4907,5249.26,5.62458,6.21074,-8.13598,637.443,215.267,313.656,534.047,11152.6,15.0483,7044.92,0.0170366,270.219,35,6.16946,12.1695,-0.000214852,0.0124453,3.12433,0,-0,-3.14159,-1,480,180,360,-1
5241,0,1.97943,-9.84955,-0.887659,2.00525,-9.74783,-0.822916,2.00397,-9.76033,-0.822926,9.04006,0.017888,-0.0470912,0.00964933,-0,1.5708,-0,1.5708,44.2085,5260.26,5.84736,5.93523,-7.66492,608.605,217.633,317.643,541.666,8592.18,14.9934,4937.37,0.00299353,254.387,35,5.95253,11.9525,-0.000212552,0.0123121,3.12433,0,-0,-3.14159,-1,480,180,360,-1
5641,0,1.97943,-9.84955,-0.887659,2.01248,-9.7408,-0.832585,2.01554,-9.7521,-0.829487,8.78908,0.0208687,-0.0291235,0.00263049,-0,1.5708,-0,1.5708,43.8832,5270.59,6.03659,5.69533,-7.26553,580.244,212.802,314.931,543.7,6435.07,14.4158,3289.03,2.19272e-05,236.733,35,5.69385,11.6938,-0.000187232,0.0108453,3.12433,0,-0,-3.14159,-1,480,180,360,-1
6034,0,1.97943,-9.84955,-0.887659,1.98715,-9.73037,-0.83934,1.99314,-9.73936,-0.831948,8.4409,0.000521077,-0.0127617,-0.000779812,-0,1.5708,-0,1.5708,43.4607,5274.83,6.20004,5.46593,-6.89486,547.706,213.574,318.456,553.392,4399.78,14.3375,1859.3,0.0793168,214.752,35,5.37687,11.3769,-0.000196691,0.0120751,3.12531,0,-0,-3.14159,-1,480,180,360,-1
6441,0,1.97943,-9.84955,-0.887659,1.98126,-9.71621,-0.838404,1.98994,-9.72843,-0.839074,8.05635,-0.00315644,-0.00061431,-0.00515347,-0,1.5708,-0,1.5708,42.8568,5271.72,6.34326,5.22155,-6.51144,518.408,211.026,320.155,564.602,2836.57,13.0824,1006.37,0.820546,185.19,35,4.93509,10.9351,-0.000169519,0.0121484,3.12764,0,-0,-3.14159,-1,480,180,360,-1
6851,0,1.97943,-9.84955,-0.887659,1.9935,-9.75641,-0.872868,1.99526,-9.76052,-0.871161,7.52845,0.000567021,-0.0203193,-0.0252386,-0,1.5708,-0,1.5708,41.9844,5227.2,6.49403,4.92135,-6.063,499.86,203.215,316.185,569.237,2008.91,11.182,713.282,1.70934,146.346,35,4.50791,10.5079,-0.00012298,0.012149,3.13147,0,-0,-3.14159,-1,480,180,360,-1
7271,0,1.97943,-9.84955,-0.887659,1.99025,-9.7738,-0.839681,1.98855,-9.77245,-0.844106,6.91843,-0.003444,-0.0240643,-0.00103138,-0,1.5708,-0,1.5708,41.1175,5130.11,6.6956,4.60068,-5.60622,481.606,216.829,336.452,604.406,1269.99,12.0721,477.739,4.32398,112.27,35,3.94311,9.94311,-9.81039e-05,0.0159218,3.13543,0,-0,-3.14159,-1,480,180,360,-1
7671,0,1.97943,-9.84955,-0.887659,2.00139,-9.78344,-0.819869,1.99718,-9.78368,-0.826998,6.30752,0.00385892,-0.0270705,0.0121107,-0,1.5708,-0,1.5708,39.9696,4927.83,7.01615,4.17172,-5.02202,471.938,204.249,332.574,620.022,840.985,5.65077,351.297,7.73498,74.0912,35,3.29224,9.29224,-1.54108e-05,0.00773935,3.1396,0,-0,-3.14159,-1,480,180,360,-1
8051,0,1.97943,-9.84955,-0.887659,1.99721,-9.74608,-0.864544,1.99952,-9.75988,-0.851161,5.63162,0.00405211,-0.00214935,-0.00938377,-0,1.5708,-0,1.5708,38.481,3552.27,7.47295,3.56869,-4.46603,461.267,189.996,328.968,640.266,587.921,5.16281,353.455,9.49758,36.3521,35,2.59414,8.59414,-9.75701e-06,0.00717352,3.14023,0,-0,-3.14159,-1,480,180,360,-1
8461,0,1.97943,-9.84955,-0.887659,2.00832,-9.76325,-0.853853,2.00888,-9.76927,-0.858337,4.95936,0.00908835,-0.00603224,-0.0109485,-0,1.5708,-0,1.5708,37.3609,4704.21,7.99398,3.25321,-3.77539,459.106,189.481,344.209,690.801,331.767,10.4483,193.953,18.9138,16.7211,35,1.87794,7.87794,-2.31112e-06,0.0147754,3.14144,0,-0,-3.14159,-1,480,180,360,-1
8851,0,1.97943,-9.84955,-0.887659,1.98552,-9.79848,-0.829793,1.986,-9.80793,-0.835857,4.3061,-0.00839449,-0.0294986,0.00727086,-0,1.5708,-0,1.5708,36.2151,4720.63,8.57582,2.87456,-3.2732,451.073,189.946,358.779,736.964,343.862,9.18876,233.932,23.7371,4.42948,35,1.33388,7.33388,1.39862e-07,0.012995,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
9271,0,1.97943,-9.84955,-0.887659,2.01086,-9.76411,-0.813342,2.00323,-9.77193,-0.808669,3.866,0.00685537,0.00274156,0.0219356,-0,1.5708,-0,1.5708,35.4876,4824.72,9.13454,2.61007,-2.92673,460.241,189.909,377.682,798.293,371.199,4.37778,200.309,32.1041,0.713156,35,0.818306,6.81831,6.6635e-08,0.00619112,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
9671,0,1.97943,-9.84955,-0.887659,1.98965,-9.79446,-0.832825,1.9945,-9.797,-0.827257,3.52173,-0.000945278,-0.0140891,0.00428672,-0,1.5708,-0,1.5708,34.3146,4954.83,9.715,2.31248,-2.55056,469.661,176.935,375.469,820.185,232.185,0.834721,86.566,33.1487,1.40952,35,0.491804,6.4918,1.2705e-08,0.00118042,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
10061,0,1.97943,-9.84955,-0.887659,1.98853,-9.75355,-0.840521,1.98849,-9.76252,-0.838915,3.35776,-0.00465054,0.0133981,-0.00464727,-0,1.5708,-0,1.5708,33.8027,3789.8,10.4667,2.06612,-2.31897,478.05,160.197,368.169,834.027,301.482,1.09021,114.729,31.7761,4.30039,35,0.283535,6.28354,-1.6594e-08,-0.00154176,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
10471,0,1.97943,-9.84955,-0.887659,1.98364,-9.74918,-0.822171,1.98179,-9.74379,-0.825296,3.32825,-0.0073584,0.020843,0.00481602,-0,1.5708,-0,1.5708,33.4469,4429.61,11.1742,1.91704,-2.0987,481.824,168.46,378.297,848.332,284.016,1.26862,116.997,28.7966,7.23668,35,0.220086,6.22009,1.93097e-08,0.00179407,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
10891,0,1.97943,-9.84955,-0.887659,1.98621,-9.74125,-0.829456,1.98179,-9.73709,-0.827721,3.4087,-0.0028807,0.0183404,0.00138041,-0,1.5708,-0,1.5708,33.647,2316.64,11.8272,1.77066,-2.09018,485.468,165.991,373.846,839.442,217.726,0.443544,97.0677,22.5117,5.49155,35,0.270272,6.27027,6.75032e-09,0.000627174,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
11311,0,1.97943,-9.84955,-0.887659,1.98306,-9.72361,-0.841522,1.98737,-9.72573,-0.839089,3.59255,-0.00268116,0.0244257,-0.0076254,-0,1.5708,-0,1.5708,34.0989,660.189,10.9649,1.61146,-3.14848,489.126,162.721,364.501,816.488,230.844,0.145879,95.5119,14.3384,2.4358,35,0.414025,6.41403,2.21744e-09,0.000206023,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
11701,0,1.97943,-9.84955,-0.887659,1.99363,-9.72115,-0.842596,1.99111,-9.71591,-0.844056,3.80491,0.00282715,0.0234339,-0.00780696,-0,1.5708,-0,1.5708,34.164,3946.15,11.3987,1.94845,-2.16194,490.246,168.724,359.103,785.551,154.375,2.10572,58.0342,17.5047,2.0967,35,0.625396,6.6254,3.20516e-08,0.00297793,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
12071,0,1.97943,-9.84955,-0.887659,1.99798,-9.72091,-0.863873,1.99867,-9.71275,-0.86194,3.98694,0.00714017,0.0191202,-0.0180089,-0,1.5708,-0,1.5708,34.606,4534.71,12.0204,1.91007,-2.08578,491.555,168.953,351.255,759.613,151.388,3.99484,83.0073,11.5585,0.465819,35,0.834961,6.83496,6.08063e-08,0.00564956,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
12471,0,1.97943,-9.84955,-0.887659,1.99578,-9.71837,-0.848857,1.99864,-9.71333,-0.857929,4.1688,0.00474246,0.0131918,-0.00886961,-0,1.5708,-0,1.5708,35.0461,4910.92,12.495,1.89156,-2.04943,488.43,182.256,358.825,754.341,126.86,8.18547,17.7813,7.77902,0.00637475,35,1.00957,7.00957,1.24591e-07,0.0115761,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
12901,0,1.97943,-9.84955,-0.887659,1.99808,-9.72007,-0.842197,2.00011,-9.71383,-0.840871,4.29608,0.00372758,0.00671706,0.00492182,-0,1.5708,-0,1.5708,35.3283,3709.29,13.1425,1.80842,-2.0038,485.706,182.158,354.579,740.802,88.4871,6.99098,0.166514,4.47932,0.323434,35,1.13914,7.13914,1.0641e-07,0.00988677,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
13271,0,1.97943,-9.84955,-0.887659,2.001,-9.72074,-0.851218,2.00161,-9.71849,-0.848279,4.34802,0.00459651,0.00425686,-0.00134734,-0,1.5708,-0,1.5708,35.3283,3535.06,13.2954,1.78447,-1.98485,484.439,177.744,347.196,726.768,97.7584,6.4908,41.0486,3.28077,0.323434,35,1.21169,7.21169,9.87972e-08,0.0091794,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
13651,0,1.97943,-9.84955,-0.887659,1.99305,-9.72248,-0.840398,1.99485,-9.72178,-0.842167,4.38453,-0.000889443,0.0011901,0.00306101,-0,1.5708,-0,1.5708,35.3283,3535.06,13.2954,1.78447,-1.98485,481.099,181.328,349.001,724.589,73.0062,6.4908,30.2502,2.7892,0.323434,35,1.25634,7.25634,9.87972e-08,0.0091794,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
14061,0,1.97943,-9.84955,-0.887659,1.99541,-9.72461,-0.841715,1.995,-9.72429,-0.841005,4.40631,-0.000552861,-0.000825132,0.00304176,-0,1.5708,-0,1.5708,35.3283,3535.06,13.2954,1.78447,-1.98485,480.641,183.584,350.365,723.955,84.0878,6.4908,23.2411,2.55395,0.323434,35,1.2791,7.2791,9.87972e-08,0.0091794,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
14451,0,1.97943,-9.84955,-0.887659,1.99058,-9.72748,-0.851147,1.99086,-9.72716,-0.849398,4.41726,-0.00319393,-0.00255222,-0.00360142,-0,1.5708,-0,1.5708,35.3283,3535.06,13.2954,1.78447,-1.98485,478.973,182.538,348.757,721.088,117.289,6.4908,31.6174,2.40978,0.323434,35,1.29357,7.29357,9.87972e-08,0.0091794,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
14851,0,1.97943,-9.84955,-0.887659,1.98829,-9.7277,-0.854865,1.98814,-9.72773,-0.854004,4.41568,-0.0042084,-0.00233449,-0.00592474,-0,1.5708,-0,1.5708,35.8929,4820.34,13.7166,1.80927,-1.95611,477.877,174.932,343.737,721.859,196.015,7.30749,66.1962,2.64137,2.39189,35,1.29533,7.29533,1.11228e-07,0.0103344,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
15251,0,1.97943,-9.84955,-0.887659,1.9886,-9.73017,-0.864228,1.98842,-9.73061,-0.862696,4.37776,-0.00306753,-0.00358363,-0.0106196,-0,1.5708,-0,1.5708,35.6901,4526.93,13.8242,1.77207,-1.92259,478.072,167.769,337.07,716.306,315.334,9.42644,168.85,2.63885,1.42889,35,1.25837,7.25837,1.43479e-07,0.0133311,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
15651,0,1.97943,-9.84955,-0.887659,1.99056,-9.72809,-0.858804,1.98933,-9.72932,-0.860844,4.30164,-0.00141821,-0.00160708,-0.00673895,-0,1.5708,-0,1.5708,36.0749,5095.1,13.8503,1.8136,-1.95261,478.943,170.349,344.156,733.482,150.477,12.0405,86.0453,3.8579,3.46622,35,1.19248,7.19248,1.83265e-07,0.0170281,-3.14158,0,-0,-3.14159,-1,480,180,360,-1
