Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_pitch,relative_yaw,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
5642,0,1.97943,-9.84955,-0.887659,1.98005,-9.73602,-0.840915,1.98183,-9.7474,-0.846346,8.41921,0.00413811,-0.0269963,-0.00647564,-0,1.5708,-0,1.5708,72.1644,4.40523e+09,10.3427,10.0701,-10.0701,434.518,168.486,343.437,735.327,2751.86,1173.47,-nan,141747,640393,75,7.8338,11.3338,0.0072355,3.13202,-0,-3.14159,-1,480,180,360,-1
6052,0,1.97943,-9.84955,-0.887659,1.9632,-9.74372,-0.847916,1.96985,-9.74761,-0.848992,8.27692,-0.00600386,-0.0209312,-0.00664916,-0,1.5708,-0,1.5708,72.1138,3.41251e+08,10.8626,9.57466,-9.57471,459.026,172.03,350.243,749.44,843.18,1203.17,-nan,148923,685410,75,7.67459,11.1746,0.00934874,3.1368,-0,-3.14159,-1,480,180,360,-1
6452,0,1.97943,-9.84955,-0.887659,1.97745,-9.74256,-0.848299,1.97728,-9.74652,-0.850564,8.16832,0.000140211,-0.0148344,-0.00572573,-0,1.5708,-0,1.5708,72.3233,6.85667e+08,11.4724,9.11855,-9.11857,488.123,168.11,349.104,754.53,429.637,1230.77,-nan,155876,730424,75,7.57218,11.0722,0.00957727,3.13974,-0,-3.14159,-1,480,180,360,-1
6852,0,1.97943,-9.84955,-0.887659,1.98605,-9.73013,-0.840502,1.98642,-9.73295,-0.840462,8.11592,0.00596384,-0.00220136,0.00205186,-0,1.5708,-0,1.5708,72.7233,3.40812e+08,12.1305,8.71945,-8.7195,499.308,163.882,347.422,758.551,751.522,1260.26,-nan,162678,775435,75,7.50437,11.0044,0.0095772,3.13747,-0,-3.14159,-1,480,180,360,-1
7252,0,1.97943,-9.84955,-0.887659,1.97966,-9.73008,-0.838304,1.98143,-9.73045,-0.840368,8.09206,0.0010411,-1.65288e-05,0.00214992,-0,1.5708,-0,1.5708,72.9828,4.92295e+08,12.5825,8.46635,-8.46638,500.98,158.959,343.889,758.134,925.761,1296.37,-nan,169408,820443,75,7.47243,10.9724,0.0111165,3.13532,-0,-3.14159,-1,480,180,360,-1
7652,0,1.97943,-9.84955,-0.887659,2.00124,-9.72161,-0.851415,2.00378,-9.72098,-0.85004,8.10608,0.0147487,0.00598779,-0.00490615,-0,1.5708,-0,1.5708,73.2343,3.00387e+09,12.9407,8.28884,-8.28885,511.274,153.077,338.62,754.236,1701.45,1337.72,-nan,176130,865449,75,7.47356,10.9736,0.0131087,3.13511,-0,-3.14159,-1,480,180,360,-1
8052,0,1.97943,-9.84955,-0.887659,1.98778,-9.71601,-0.846256,1.99469,-9.71511,-0.847719,8.15132,0.00410576,0.00830981,-0.00201467,-0,1.5708,-0,1.5708,73.5326,5.54005e+08,13.1669,8.21294,-8.21297,499.736,160.117,345.403,760.446,791.052,1391.15,-nan,182924,910453,75,7.51634,11.0163,0.017064,3.13349,-0,-3.14159,-1,480,180,360,-1
8442,0,1.97943,-9.84955,-0.887659,1.99382,-9.71124,-0.830532,1.99465,-9.70888,-0.829372,8.22734,0.00301089,0.010036,0.0100589,-0,1.5708,-0,1.5708,73.8282,4.60477e+09,13.423,8.12118,-8.12118,492.416,169.49,354.147,767.777,252.008,1449.46,-nan,189820,955456,75,7.57567,11.0757,0.0188764,3.13331,-0,-3.14159,-1,480,180,360,-1
8852,0,1.97943,-9.84955,-0.887659,2.00361,-9.70986,-0.823951,2.00406,-9.70827,-0.825888,8.31397,0.00837304,0.00792486,0.0106192,-0,1.5708,-0,1.5708,74.6208,2.60589e+08,13.5023,8.2477,-8.24775,486.243,166.868,351.452,764.92,226.512,1502.83,-nan,196882,1.00046e+06,75,7.6658,11.1658,0.0169552,3.13331,-0,-3.14159,-1,480,180,360,-1
9252,0,1.97943,-9.84955,-0.887659,1.99273,-9.71151,-0.829844,1.99453,-9.71118,-0.829497,8.39853,-1.908e-05,0.0042705,0.00592855,-0,1.5708,-0,1.5708,74.4755,9.46205e+08,13.751,8.06709,-8.06711,477.581,166.154,348.295,756.293,206.981,1549.8,-nan,204110,1.04546e+06,75,7.75943,11.2594,0.0150145,3.1345,-0,-3.14159,-1,480,180,360,-1
