Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
840,0,1.97943,-9.84955,-0.887659,2.03774,-9.8877,-0.879412,2.07033,-10.0523,-0.895981,10.0465,0.66203,-3.21243,-0.285737,-0,1.5708,-0,1.5708,30.3,25583.6,1.53475,11.4294,-12.5508,732.141,207.254,268.148,404.55,44013.4,4.8721e-13,34082.3,173.565,66.27,35,7.26326,13.2633,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1
1230,0,1.97943,-9.84955,-0.887659,2.03774,-9.8877,-0.879412,2.40135,-11.6585,-1.03885,10.0506,0.66203,-3.21243,-0.285737,-0,1.5708,-0,1.5708,38.9835,4076.08,2.19628,10.338,-20.9802,796.46,206.332,273.779,424.862,61480.1,9.50162,52105.3,20.4261,47.6039,35,8.90879,14.9088,-5.47967e-05,0.0127291,3.13729,0,-0,-3.14159,-1,480,180,360,-1
1630,0,1.97943,-9.84955,-0.887659,1.96553,-9.86675,-0.851072,2.08504,-10.4849,-0.918411,10.0441,0.323467,-1.76275,-0.140369,-0,1.5708,-0,1.5708,43.0482,5093.27,2.86199,10.3313,-17.3834,805.573,231.273,314.035,499.423,62222.9,15.0693,54184.3,69.8503,194.321,35,7.68833,13.6883,-0.000153389,0.0198625,3.13387,0,-0,-3.14159,-1,480,180,360,-1
2030,0,1.97943,-9.84955,-0.887659,1.99176,-9.85164,-0.849183,2.05747,-10.2208,-0.883495,10.0246,0.228507,-1.16887,-0.0831816,-0,1.5708,-0,1.5708,44.6931,5060.11,3.47533,9.3735,-14.8901,804.662,233.16,321.298,518.727,61647.3,15.0694,53783.6,38.6893,281.87,35,7.40654,13.4065,-0.000193914,0.0185804,3.13116,0,-0,-3.14159,-1,480,180,360,-1
2430,0,1.97943,-9.84955,-0.887659,2.0112,-9.83024,-0.839428,2.06282,-10.094,-0.858632,9.99736,0.16741,-0.756742,-0.0434877,-0,1.5708,-0,1.5708,45.4748,5115.68,4.01111,8.58747,-12.9277,788.214,229.884,320.733,524.234,55529.5,14.7176,48505.6,17.8306,329.164,35,7.25216,13.2522,-0.000210771,0.0163248,3.12868,0,-0,-3.14159,-1,480,180,360,-1
2830,0,1.97943,-9.84955,-0.887659,2.00813,-9.80367,-0.839503,2.0429,-9.97109,-0.847532,9.95683,0.113447,-0.489206,-0.025917,-0,1.5708,-0,1.5708,45.9522,5157.82,4.47914,7.97712,-11.5497,761.316,223.8,316.84,525.249,47278.5,14.2907,40514.6,7.8572,359.85,35,7.09071,13.0907,-0.000202646,0.0133752,3.12644,0,-0,-3.14159,-1,480,180,360,-1
3230,0,1.97943,-9.84955,-0.887659,1.9883,-9.78454,-0.850369,2.01652,-9.89118,-0.857926,9.90955,0.0655254,-0.308048,-0.0253843,-0,1.5708,-0,1.5708,46.1581,5184.24,4.89041,7.46494,-10.4843,720.45,217.543,311.975,523.502,36058.6,14.9162,29837,2.59319,373.507,35,6.95571,12.9557,-0.000209739,0.0121748,3.12437,0,-0,-3.14159,-1,480,180,360,-1
3630,0,1.97943,-9.84955,-0.887659,2.00016,-9.76665,-0.821585,2.02667,-9.89576,-0.834689,9.8537,0.0557113,-0.234416,-0.00426915,-0,1.5708,-0,1.5708,46.1699,5205.84,5.25007,7.02988,-9.63099,683.664,220.874,315.595,527.771,27549.3,15.8542,21650.1,0.156423,374.299,35,6.90482,12.9048,-0.000228624,0.0121191,3.12273,0,-0,-3.14159,-1,480,180,360,-1
4030,0,1.97943,-9.84955,-0.887659,1.99732,-9.73726,-0.832742,2.00967,-9.77883,-0.833593,9.78699,0.0306997,-0.104127,-0.00250835,-0,1.5708,-0,1.5708,46.0466,5231.76,5.55576,6.6659,-8.94541,647,216.803,312.809,527.862,20283.9,16.2459,14839.8,0.0382702,366.085,35,6.72776,12.7278,-0.000216683,0.01064,3.12123,0,-0,-3.14159,-1,480,180,360,-1
4430,0,1.97943,-9.84955,-0.887659,2.0106,-9.73002,-0.847624,2.01342,-9.75077,-0.847152,9.71567,0.0259796,-0.0590465,-0.010866,-0,1.5708,-0,1.5708,45.7561,5248.5,5.81792,6.33391,-8.34905,607.611,213.312,309.624,525.365,14157.4,16.9432,9054.11,0.817553,347.084,35,6.61984,12.6198,-0.000227191,0.0105619,3.12009,0,-0,-3.14159,-1,480,180,360,-1
4830,0,1.97943,-9.84955,-0.887659,1.98232,-9.71179,-0.819599,1.9962,-9.72584,-0.828397,9.63022,0.00792687,-0.029088,0.00457191,-0,1.5708,-0,1.5708,45.3401,5276.38,6.02309,6.04863,-7.84794,572.285,219.179,315.638,531.704,9864.35,17.4635,5134.01,2.10362,320.755,35,6.50728,12.5073,-0.000259624,0.0120383,3.12003,0,-0,-3.14159,-1,480,180,360,-1
5230,0,1.97943,-9.84955,-0.887659,2.00263,-9.70956,-0.840386,2.0035,-9.71598,-0.837751,9.51106,0.01044,-0.0130937,-0.00351724,-0,1.5708,-0,1.5708,44.8526,5312.61,6.1597,5.821,-7.4546,542.221,214.827,311.494,528.03,7128.06,17.0358,2827.16,3.10772,291.221,35,6.37847,12.3785,-0.000231699,0.0107434,3.12003,0,-0,-3.14159,-1,480,180,360,-1
5630,0,1.97943,-9.84955,-0.887659,2.00149,-9.72298,-0.864088,2.0048,-9.72648,-0.864488,9.32625,0.00827611,-0.016243,-0.0198105,-0,1.5708,-0,1.5708,44.3112,5359.97,6.21039,5.66,-7.17541,516.314,212.871,309.868,527.143,5317.11,17.5017,1557.76,3.24976,260.097,35,6.23007,12.2301,-0.000262006,0.0121487,3.12003,0,-0,-3.14159,-1,480,180,360,-1
6030,0,1.97943,-9.84955,-0.887659,1.99369,-9.72717,-0.841951,1.99623,-9.73122,-0.848187,9.08145,0.000560317,-0.015126,-0.00398776,-0,1.5708,-0,1.5708,43.7005,5427.45,6.14405,5.58154,-7.02679,493.28,222.129,320.619,541.237,3877.35,17.1591,919.595,1.45526,227.096,35,5.96301,11.963,-0.000282119,0.0144961,3.12213,0,-0,-3.14159,-1,480,180,360,-1
6460,0,1.97943,-9.84955,-0.887659,1.97759,-9.75673,-0.830933,1.9727,-9.75197,-0.830656,8.6567,-0.0137007,-0.0264823,0.00818098,-0,1.5708,-0,1.5708,42.8717,5517.87,5.94052,5.56771,-6.97539,480.788,223.79,324.177,549.046,3067.09,12.3875,800.206,0.0351217,185.892,35,5.62697,11.627,-0.00015117,0.0112735,3.12818,0,-0,-3.14159,-1,480,180,360,-1
